timestamp,PM2.5,PM10,temperature,humidity,wind_speed,pressure,rainfall
2026-08-10 11:00:00,12.27,29.85,26.1,52.63,4.69,1018.36,0.0
2026-08-10 12:00:00,4.51,32.35,26.78,51.4,10.57,1019.45,0.0
2026-08-10 13:00:00,12.12,31.95,28.84,47.8,3.9,1019.65,0.0
2026-08-10 14:00:00,4.0,30.42,30.59,54.24,6.45,1020.16,0.0
2026-08-10 15:00:00,4.38,35.43,28.72,50.83,5.5,1020.51,0.0
2026-08-10 16:00:00,9.03,26.32,28.48,51.46,4.25,1018.44,0.0
2026-08-10 17:00:00,13.54,42.38,29.96,51.19,5.41,1018.6,0.0
2026-08-10 18:00:00,28.91,76.77,27.87,51.79,4.77,1018.24,0.0
2026-08-10 19:00:00,54.87,121.15,24.94,55.07,4.56,1019.06,0.0
2026-08-10 20:00:00,63.38,148.08,24.46,56.19,3.99,1019.62,0.0
2026-08-10 21:00:00,66.71,128.57,21.44,62.12,3.11,1020.04,0.0
2026-08-10 22:00:00,51.71,107.96,19.63,65.52,3.22,1019.19,0.0
2026-08-10 23:00:00,21.99,55.18,18.79,70.09,3.6,1018.99,0.0
2026-08-11 00:00:00,10.57,36.63,14.75,74.66,3.88,1019.37,0.0
2026-08-11 01:00:00,7.81,27.51,13.87,78.96,4.65,1018.58,0.0
2026-08-11 02:00:00,9.33,40.03,14.56,74.47,7.01,1020.92,0.0
2026-08-11 03:00:00,4.93,19.95,13.78,76.51,4.09,1017.96,0.0
2026-08-11 04:00:00,13.89,31.75,15.62,64.89,4.62,1019.4,0.0
2026-08-11 05:00:00,11.25,28.14,14.85,77.94,4.97,1020.87,0.0
2026-08-11 06:00:00,22.32,44.78,15.36,74.74,4.73,1019.26,0.0
2026-08-11 07:00:00,36.12,76.29,20.26,68.52,3.09,1019.1,0.0
2026-08-11 08:00:00,30.65,87.0,19.92,53.56,5.78,1018.96,0.0
2026-08-11 09:00:00,33.05,87.54,22.08,69.61,5.75,1019.11,0.0
2026-08-11 10:00:00,25.89,67.55,22.1,60.66,4.58,1020.35,0.0
2026-08-11 11:00:00,20.08,55.71,26.07,58.51,3.98,1015.22,0.0
2026-08-11 12:00:00,12.42,32.38,28.3,45.9,4.9,1018.22,0.0
2026-08-11 13:00:00,18.17,55.74,27.9,53.23,3.94,1015.85,0.0
2026-08-11 14:00:00,4.0,31.55,30.43,42.01,7.27,1016.78,0.0
2026-08-11 15:00:00,4.0,19.76,29.5,45.4,4.44,1016.65,0.0
2026-08-11 16:00:00,8.24,27.45,29.63,55.32,4.6,1017.46,0.0
2026-08-11 17:00:00,12.1,36.72,28.56,48.83,6.75,1015.71,0.0
2026-08-11 18:00:00,24.88,68.78,30.39,47.17,6.23,1017.36,0.0
2026-08-11 19:00:00,47.41,96.87,26.7,56.42,4.52,1018.61,0.0
2026-08-11 20:00:00,37.22,110.55,23.76,60.21,6.42,1015.9,0.0
2026-08-11 21:00:00,72.27,128.31,24.21,58.02,3.08,1017.14,0.0
2026-08-11 22:00:00,37.14,83.74,19.94,66.57,4.21,1016.46,0.0
2026-08-11 23:00:00,29.0,54.03,19.97,74.67,3.08,1017.33,0.0
2026-08-12 00:00:00,4.88,19.86,15.92,72.11,5.32,1017.01,0.0
2026-08-12 01:00:00,9.93,28.33,15.56,73.8,5.26,1016.48,0.0
2026-08-12 02:00:00,15.14,54.34,16.69,75.16,6.6,1017.38,0.0
2026-08-12 03:00:00,12.47,25.94,17.11,74.62,3.83,1018.43,0.0
2026-08-12 04:00:00,7.06,37.49,16.66,75.76,7.36,1016.84,0.0
2026-08-12 05:00:00,10.56,35.47,17.02,72.92,3.04,1017.57,0.0
2026-08-12 06:00:00,21.95,39.02,17.91,64.19,3.78,1015.96,0.0
2026-08-12 07:00:00,45.0,88.92,17.95,75.22,3.05,1016.23,0.0
2026-08-12 08:00:00,46.78,115.24,20.54,59.44,4.05,1017.37,0.0
2026-08-12 09:00:00,54.32,108.72,22.67,61.4,3.41,1018.18,0.0
2026-08-12 10:00:00,26.96,78.18,26.3,50.64,5.93,1017.28,0.0
2026-08-12 11:00:00,11.43,37.56,28.14,50.09,5.24,1011.66,0.0
2026-08-12 12:00:00,16.35,39.29,27.06,53.61,4.03,1011.91,0.0
2026-08-12 13:00:00,4.0,24.79,30.68,47.06,6.05,1010.91,0.0
2026-08-12 14:00:00,8.68,36.7,30.53,47.73,7.44,1012.4,0.0
2026-08-12 15:00:00,14.46,34.15,30.42,52.7,5.68,1012.62,0.0
2026-08-12 16:00:00,16.22,38.03,31.72,45.72,3.9,1011.55,0.0
2026-08-12 17:00:00,7.54,33.04,31.53,43.27,4.53,1011.54,0.0
2026-08-12 18:00:00,22.26,63.89,30.3,50.32,5.3,1012.13,0.0
2026-08-12 19:00:00,51.32,116.66,26.72,57.66,3.91,1011.57,0.0
2026-08-12 20:00:00,81.88,160.47,25.67,49.88,3.03,1011.86,0.0
2026-08-12 21:00:00,32.21,92.34,24.63,59.06,5.55,1013.59,0.0
2026-08-12 22:00:00,43.89,93.28,23.59,61.34,3.56,1011.72,0.0
2026-08-12 23:00:00,8.84,27.11,20.15,63.54,6.24,1011.63,0.0
2026-08-13 00:00:00,10.94,25.98,19.06,72.19,3.37,1011.4,0.0
2026-08-13 01:00:00,8.51,20.34,16.84,70.09,3.51,1012.51,0.0
2026-08-13 02:00:00,22.07,40.84,16.03,72.65,3.31,1011.77,0.0
2026-08-13 03:00:00,10.69,26.59,18.2,67.55,3.67,1011.4,0.0
2026-08-13 04:00:00,14.94,41.3,19.1,66.68,4.36,1012.97,0.0
2026-08-13 05:00:00,18.17,36.59,18.08,64.07,3.06,1013.05,0.0
2026-08-13 06:00:00,28.77,60.88,20.48,58.38,2.96,1011.43,0.0
2026-08-13 07:00:00,40.97,86.06,21.16,69.29,2.74,1010.42,0.0
2026-08-13 08:00:00,71.37,136.82,21.64,58.66,2.71,1012.72,0.0
2026-08-13 09:00:00,59.93,122.73,24.66,52.65,3.18,1011.37,0.0
2026-08-13 10:00:00,32.13,79.86,27.89,42.18,3.96,1012.55,0.0
2026-08-13 11:00:00,11.05,37.16,28.31,47.49,4.87,1006.27,0.0
2026-08-13 12:00:00,6.25,30.16,31.68,38.68,5.33,1008.56,0.0
2026-08-13 13:00:00,10.22,39.63,27.77,57.58,5.13,1006.88,0.0
